BASMID,ALLGRADEX,EDCPUB,SCCHOICE,SPUBCHOIX,SCONSIDR,SCHLHRSWK,EINTNET,MOSTIMPT,INTNUM,SEENJOY,SEGRADES,SEABSNT,SEGRADEQ,FSSPORTX,FSVOL,FSMTNG,FSPTMTNG,FSATCNFN,FSFUNDRS,FSCOMMTE,FSCOUNSLR,FSFREQ,FSNOTESX,FSMEMO,FCSCHOOL,FCTEACHR,FCSTDS,FCORDER,FCSUPPRT,FHHOME,FHWKHRS,FHAMOUNT,FHCAMT,FHPLACE,FHCHECKX,FHHELP,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FORESPON,FOHISTX,FODINNERX,FOLIBRAYX,FOBOOKSTX,HDHEALTH,CDOBMM,CDOBYY,CSEX,CSPEAKX,HHTOTALXX,RELATION,P1REL,P1SEX,P1MRSTA,P1EMPL,P1HRSWK,P1MTHSWRK,P1AGE,P2GUARD,TTLHHINC,OWNRNTHB,CHLDNT,SEFUTUREX,DSBLTY,HHPARN19X,HHPARN19_BRD,NUMSIBSX,PARGRADEX,RACEETH,INTACC,CENREG,ZIPLOCL
20191000012,12,1,2,3,2,4,4,-1,-1,2,1,1,1,2,2,1,2,1,1,2,2,2,2,1,2,2,1,2,1,4,2,1,1,1,3,2,1,1,2,1,2,1,1,7,2,2,1,1,2004,2,2,4,1,1,2,1,3,-1,6,52,1,8,2,1,6,2,1,1,1,3,4,1,4,11
20191000029,4,1,2,3,2,4,3,-1,2,3,5,1,3,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,4,7,2,2,1,4,4,1,2,2,2,1,2,1,5,2,2,1,8,2012,1,4,9,1,1,2,5,1,40,12,29,2,5,2,1,6,2,2,2,1,3,3,1,4,12
20191000059,11,2,2,2,1,4,3,2,2,3,3,1,4,1,1,1,1,1,2,1,1,20,2,1,4,3,4,4,4,2,6,3,2,1,3,1,1,2,2,1,1,1,1,7,2,2,2,3,2005,1,2,3,1,1,2,5,1,35,12,33,2,3,2,4,5,2,2,2,1,5,2,3,2,11
20191000070,6,1,1,1,1,4,4,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,5,1,1,1,4,3,1,1,1,1,1,1,1,7,1,1,1,12,2009,1,4,3,1,1,2,4,1,35,11,35,2,2,1,2,6,2,2,2,1,2,3,1,2,31
20191000078,9,1,2,3,2,4,4,-1,-1,2,1,1,1,1,2,1,2,1,1,2,2,5,1,1,1,1,1,1,1,3,5,3,1,1,4,3,2,2,1,1,1,1,1,3,2,2,1,5,2006,1,2,4,2,1,1,1,2,60,12,48,1,10,1,2,6,2,1,1,1,5,5,1,2,21
20191000083,6,1,1,2,2,4,4,-1,-1,1,5,1,1,1,2,1,2,1,1,2,2,5,1,1,1,1,1,1,1,3,3,1,1,1,4,3,1,2,2,2,1,1,1,7,2,1,1,5,2010,2,2,3,2,1,1,1,1,60,9,46,1,10,1,2,6,2,1,1,0,5,1,1,4,21
20191000149,8,1,1,1,2,4,4,-1,-1,1,1,1,2,2,2,1,2,1,2,2,2,3,1,1,1,2,1,1,2,3,10,1,1,1,4,2,1,2,1,1,2,1,2,7,2,2,1,12,2007,2,2,5,1,1,2,1,3,-1,6,34,1,3,1,1,6,1,1,1,2,3,3,1,2,41
20191000163,5,1,1,1,1,4,4,-1,-1,1,5,1,3,1,2,1,2,1,1,2,2,5,1,1,1,1,1,1,1,3,2,1,1,1,4,3,1,1,1,2,1,2,1,7,1,2,1,3,2011,2,2,6,5,1,2,1,4,-1,0,32,1,12,1,2,5,1,1,1,1,4,1,1,3,41
20191000187,9,1,1,1,2,4,4,-1,-1,2,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,4,10,1,1,1,3,1,1,2,1,2,2,1,2,7,1,2,1,4,2007,1,2,4,2,1,1,1,1,40,12,49,1,11,1,1,5,2,1,1,1,5,1,1,3,21
20191000217,2,1,1,1,2,4,4,-1,-1,2,5,2,3,1,1,1,2,1,1,2,2,4,1,1,1,1,2,2,1,4,4,2,2,1,4,4,1,1,1,1,1,2,2,4,1,2,2,1,2013,1,2,3,1,1,2,1,1,37,12,44,1,7,1,3,3,2,1,1,0,3,1,1,3,42
